1ONORATO	HONORATO
1VICENTE	VICENTE
AGUSTO	AUGUSTO
AMAPARITO	AMPARITO
ANTA	ANDA
ARGULLO	ARGUELLO
BAYRON	BYRON
CAISEDO	CAICEDO
CAIZA	CAICEDO
CALVIJO	CLAVIJO
CAREDNAL	CARDENAL
CEAR	CESAR
CELINAO	CELIANO
CESAS	CESAR
CICIEMBRE	DICIEMBRE
CISEDO	CAICEDO
CLIANO	CELIANO
CLVIJO	CLAVIJO
COL	COLEGIO
COL.	COLEGIO 
CONDORATO	HONORATO
CONZALES	GONZALEZ
DIC	DICIEMBRE
DR	DOCTOR
DR.	DOCTOR 
DUAREZ	SUAREZ
E3SC.	ESCUELA
EC	ESCUELA
EC.	ESCUELA 
EDIOSN	EDISON
ELIOY	ELOY
ELSON	EDISON
ERIBERTO	HERIBERTO
ES.	ESCUELA
ESC	ESCUELA
ESC,	ESCUELA
ESC.	ESCUELA
ESWC	ESCUELA
FEDRICO	FEDERICO
FINTA	FITA
FITO	FITA
G.	GENERAL 
GONALES	GONZALEZ
GONAZLES	GONZALEZ
GONSALES	GONZALEZ
GONSALEZ	GONZALEZ
GONZALES	GONZALEZ
GONZALEZ	GONZALEZ
GRAL.	GENERAL
HERINERTO	HERIBERTO
HUIRTADO	HURTADO
HURATDO	HURTADO
INST	INSTITUTO
ITOALO	QUILOTOA
JAR	JARDIN
JAR.	JARDIN 
JARD.	JARDIN 
JUANDE	JUAN DE
JUNA	JUAN
MANEUL	MANUEL
MAUEL	MANUEL
MAUNEL	MANUEL
MONS.	MONSEÑOR
MONS.	MONSEÑOR  
ONORATO	HONORATO
PEÑERRERA	PEÑAHERRERA
PEÑERRERO	PEÑAHERRERA
PERES	PEREZ
PILA	FITA
PITA	FITA
QIOLATOA	QUILOTOA
QUILATOA	QUILOTOA
QUIOTOA	QUILOTOA
QUISALO	QUILOTOA
QUITOA	QUITO
RAMIRES	RAMIREZ
RUBIOP	RUBIO
S/N	SIN NOMBRE
SALAMA	SOLANDA
SALANDO	SOLANDA
SALONDA	SOLANDA
SELIANO	CELIANO
SIGCHO	SIGCHOS
SIGCHOES	SIGCHOS
SOLANDO	SOLANO
SOTANO	SOLANO
SUAEZ	SUAREZ
SUARES	SUAREZ
TEC	TECNICO
TEC.	TECNICO 
VALERA	VARELA
VICTOE	VICTOR
VINCENTE	VICENTE
VRGAS	VARGAS
YANEZ	YAÑEZ
ZOLANA	SOLANDA
ZOLANDA	SOLANDA
ZOLANO	SOLANO
ZUARES	SUAREZ
